date,MU,HYNIX_USD,USDKRW,rMU,rHY,z,pos_leadlag_ls,pos_leadlag_lf,pos_meanrev,ret_leadlag_ls,ret_leadlag_lf,ret_meanrev,ret_buyhold,eq_leadlag_ls,eq_leadlag_lf,eq_meanrev,eq_buyhold
2023-06-02,68.28755950927734,81.99631441281421,1312.8499755859375,0.0011573533887156984,0.006748714984244231,,0.0,0.0,0.0,0.0,0.0,0.0,0.006748714984244231,1.0,1.0,1.0,1.0067487149842442
2023-06-05,66.9054183959961,81.28423870949699,1305.1400146484375,-0.02044764885266126,-0.008722168121436447,,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.008722168121436447,1.0,1.0,1.0,0.9979676834361115
2023-06-07,66.20448303222656,81.13004341050485,1299.199951171875,-0.010531776150640937,-0.0018987904672851386,,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0018987904672851386,1.0,1.0,1.0,0.9960727519121444
2023-06-08,64.48667907714844,81.83139248740497,1308.3399658203125,-0.026289503633512012,0.008607599746794925,,0.0,0.0,0.0,0.0,0.0,0.0,0.008607599746794925,1.0,1.0,1.0,1.0046465474792927
2023-06-09,64.59526824951172,86.88086926593301,1296.3299560546875,0.0016824846576604102,0.05987692027149727,,0.0,0.0,0.0,0.0,0.0,0.0,0.05987692027149727,1.0,1.0,1.0,1.0648016887037453
2023-06-12,66.58950805664062,87.07667938831356,1286.68994140625,0.030405867254772012,0.002251241255051717,,0.0,0.0,0.0,0.0,0.0,-0.0,0.002251241255051717,1.0,1.0,1.0,1.0671988141938038
2023-06-13,67.004150390625,90.79055454103232,1284.5799560546875,0.006207535152056742,0.04176615256421279,,0.0,0.0,0.0,0.0,0.0,0.0,0.04176615256421279,1.0,1.0,1.0,1.1117716026837692
2023-06-14,68.23821258544922,91.4663408171321,1267.6199951171875,0.01825014617726506,0.007415789364577208,,0.0,0.0,0.0,0.0,0.0,-0.0,0.007415789364577208,1.0,1.0,1.0,1.1200162667107905
2023-06-15,67.9420394897461,91.1622093405411,1273.989990234375,-0.004349728512898388,-0.003330604743570831,,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.003330604743570831,1.0,1.0,1.0,1.116285935220007
2023-06-16,66.79683685302734,91.36818204099286,1270.050048828125,-0.016999254343637915,0.0022568602008492533,,0.0,0.0,0.0,0.0,0.0,0.0,0.0022568602008492533,1.0,1.0,1.0,1.1188052365199728
2023-06-20,66.04651641845703,88.29950889919259,1283.239990234375,-0.011296438927181462,-0.03416275427574167,,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.03416275427574167,1.0,1.0,1.0,1.0805837681423278
2023-06-21,64.96055603027344,87.24659503155621,1287.5400390625,-0.016579032598540877,-0.011996010969165027,,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.011996010969165027,1.0,1.0,1.0,1.0676210734065907
2023-06-22,65.4048080444336,86.35645482376133,1288.3800048828125,0.0068155178637372416,-0.010254981228297488,,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.010254981228297488,1.0,1.0,1.0,1.0566726393398713
2023-06-23,64.44719696044922,85.40184915076122,1298.2099609375,-0.014749536512475458,-0.01111580028711412,,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.01111580028711412,1.0,1.0,1.0,1.0449268773121116
2023-06-26,64.61502075195312,84.70940037617972,1307.6700439453125,0.0026006663928104246,-0.008141173509143229,,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.008141173509143229,1.0,1.0,1.0,1.0364199462995465
2023-06-27,65.93792724609375,84.66059129498676,1302.6600341796875,0.02026690007081111,-0.0005763604527881938,,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0005763604527881938,1.0,1.0,1.0,1.0358225948300186
2023-06-28,66.21435546875,86.0347873094699,1296.5999755859375,0.0041834862045169174,0.01610149864507804,,0.0,0.0,0.0,0.0,0.0,0.0,0.01610149864507804,1.0,1.0,1.0,1.0525008909372153
2023-06-29,63.50931167602539,86.86372413252874,1309.010009765625,-0.041710753700224146,0.009588783240553234,,0.0,0.0,0.0,0.0,0.0,0.0,0.009588783240553234,1.0,1.0,1.0,1.0625930938409014
2023-06-30,62.30487823486328,85.20105338434735,1323.0699462890625,-0.019146810662104663,-0.019326703878133955,,-1.0,0.0,0.0,0.018826703878133955,-0.0,0.0,-0.019326703878133955,1.018826703878134,1.0,1.0,1.042056671773288
2023-07-03,63.08479309082031,87.48987548698656,1315.300048828125,0.01244001847363041,0.02650928052375523,,0.0,0.0,0.0,-0.0005,0.0,0.0,0.02650928052375523,1.018317290526195,1.0,1.0,1.0696808444069767
2023-07-05,61.268272399902344,88.14723441721343,1295.5,-0.02921761369564635,0.007485456803679291,,0.0,0.0,0.0,0.0,0.0,0.0,0.007485456803679291,1.018317290526195,1.0,1.0,1.0776878941615085
2023-07-06,60.448848724365234,85.46398636678337,1302.969970703125,-0.013464598040814124,-0.030913459628742146,,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.030913459628742146,1.018317290526195,1.0,1.0,1.0443728329529625
2023-07-07,59.98892593383789,83.56117044735122,1309.219970703125,-0.007637554372357691,-0.022516131264873174,,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.022516131264873174,1.018317290526195,1.0,1.0,1.0208575971567262
2023-07-10,61.79896926879883,83.19303579065031,1297.3699951171875,0.029726708408150948,-0.004415303974256268,,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.004415303974256268,1.018317290526195,1.0,1.0,1.0163502005508505
2023-07-11,62.906768798828125,85.38835480402095,1299.5400390625,0.017767084154515445,0.02604609100346522,,0.0,0.0,0.0,0.0,0.0,0.0,0.02604609100346522,1.018317290526195,1.0,1.0,1.042822150365788
2023-07-12,63.094696044921875,87.43460834306076,1291.510009765625,0.002982939693181308,0.023681449860808,,0.0,0.0,0.0,0.0,0.0,0.0,0.023681449860808,1.018317290526195,1.0,1.0,1.0675176908334154
2023-07-13,63.82664489746094,87.58968131861607,1274.699951171875,0.011534025114722901,0.001772017088977229,,0.0,0.0,0.0,0.0,0.0,-0.0,0.001772017088977229,1.018317290526195,1.0,1.0,1.0694093504243578
2023-07-14,63.381534576416016,91.14628462812844,1266.8299560546875,-0.0069981685056292875,0.03980254138247297,,0.0,0.0,0.0,0.0,0.0,0.0,0.03980254138247297,1.018317290526195,1.0,1.0,1.1119745603494269
2023-07-17,64.44977569580078,90.42057677006721,1268.3399658203125,0.016713682813816355,-0.007993878585438985,,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.007993878585438985,1.018317290526195,1.0,1.0,1.1030855707238967
2023-07-18,64.23217010498047,91.09103091612015,1265.449951171875,-0.0033820719276196343,0.00738748561332514,,0.0,0.0,0.0,0.0,0.0,0.0,0.00738748561332514,1.018317290526195,1.0,1.0,1.111234599507886
