time,BNB_ret,ETH_ret,BTC_ret
2022-05-02,-0.00042194508372854456,0.011400093860438875,0.0027740493374610255
2022-05-03,-0.01763383393081997,-0.028572553371995733,-0.0225957504572601
2022-05-04,0.04890682706750024,0.054525625469458765,0.05010849381489377
2022-05-05,-0.06174125901285013,-0.06693212499834093,-0.08251770685597938
2022-05-06,0.0037470997718869418,-0.018058095137438415,-0.012655068582748496
2022-05-07,-0.03689758427034334,-0.022854538569515855,-0.014934610564380538
2022-05-08,-0.02889526437902778,-0.04534923737280684,-0.04168647222814732
2022-05-09,-0.16179890578794676,-0.10965717763621227,-0.1117454564826973
2022-05-10,0.05161555525633271,0.036943591787599865,0.01734217560920802
2022-05-11,-0.16964908297576603,-0.12468613813968792,-0.073432469008505
2022-05-12,0.0019128042302699756,-0.054559923350567405,0.008098308101848379
2022-05-13,0.07865041739025097,0.02898592641575975,0.008753222138448232
2022-05-14,0.01487270767634246,0.018205763869123846,0.025819721279616358
2022-05-15,0.05159924725459591,0.04097480471398994,0.036933851568660074
2022-05-16,-0.04583354759339971,-0.05592816897879133,-0.042349917084335977
2022-05-17,0.02965965897545702,0.034148028029854206,0.018187204914183613
2022-05-18,-0.05850090395440334,-0.085691453494123,-0.05632261752775675
2022-05-19,0.05916710783988421,0.0484499761566372,0.05038122129216682
2022-05-20,-0.012169370000406505,-0.02731996325405833,-0.03475811273444961
2022-05-21,0.030745358381729176,0.0059676714479357795,0.0066786689994031475
2022-05-22,0.02277630940356517,0.03523713743575956,0.030521768300769327
2022-05-23,-0.006862571839995738,-0.03683637716523374,-0.04186477886512783
2022-05-24,0.03330779646238948,0.003638908513227335,0.018914710383598085
2022-05-25,-0.005100306929690692,-0.017070761079152626,-0.0022432571751867126
2022-05-26,-0.06040089653377483,-0.07287146101199166,-0.00831017816260466
2022-05-27,-0.020336795758911112,-0.04897802039725759,-0.02486798656630192
2022-05-28,0.02358394649752366,0.0411900761430482,0.015036622323271088
2022-05-29,-0.008087042915077893,0.009653763744604854,0.013152629729613369
2022-05-30,0.052198436314408396,0.09748433559054197,0.0754333582691421
2022-05-31,-0.00239720866182644,-0.024942750341335678,0.003003258847901736
2022-06-01,-0.06566607794371368,-0.06342861153921533,-0.06507563537561865
2022-06-02,0.02412382645169472,0.004232499655336203,0.022488720388847937
2022-06-03,-0.03450998189327584,-0.034394758407558554,-0.027977222621454873
2022-06-04,0.011705134422800743,0.014396131608280873,0.004364199522672632
2022-06-05,-0.00839848938883052,0.0036844589183372754,0.004120123739565278
2022-06-06,-0.011182171296897402,0.028049559540441433,0.0463197533764165
2022-06-07,-0.017813278994648817,-0.02425306356859031,-0.005075930467565516
2022-06-08,-0.0039235629994909685,-0.010011452217994547,-0.030833511637682796
2022-06-09,0.0016865906749828343,-0.004087067838665139,-0.005439427766675605
2022-06-10,-0.012275094525890628,-0.07231588571591904,-0.03362411698394763
2022-06-11,-0.05860559153717696,-0.08338288025289466,-0.0247129207000066
2022-06-12,-0.04945714888875714,-0.0538082949499362,-0.05547630717991243
2022-06-13,-0.15091348446194539,-0.19536315664089218,-0.1842158194097713
2022-06-14,0.0067235867326766235,0.011161377475243602,-0.010966342755704859
2022-06-15,0.04383980851287519,0.018882218864273947,0.02008984202180527
2022-06-16,-0.10565648125171864,-0.14560666977063255,-0.1033168376529546
2022-06-17,0.033739087815855946,0.023226145099150195,0.00759055514224751
2022-06-18,-0.09140833402953226,-0.09066911623714988,-0.07354407646025642
2022-06-19,0.08218178918014807,0.12445791003387334,0.07488040164219932
2022-06-20,0.010507294485924482,-0.0017667549943246065,0.003863934403596934
2022-06-21,0.013183559743302731,0.002150589915170451,0.005663400464539038
2022-06-22,-0.020823007500380512,-0.06645126053084939,-0.03368562703376013
2022-06-23,0.06431274289345065,0.08403040238220776,0.05324504668483738
2022-06-24,0.0515667189602188,0.07501157335317434,0.009528013188828647
2022-06-25,-0.00693608066422762,0.006899659905173261,0.007915700994337825
2022-06-26,-0.020632610646128792,-0.031263509430103247,-0.01888959669558012
2022-06-27,-0.0024782334904937323,-0.00776861029438413,-0.015092912514936127
2022-06-28,-0.030881139561080007,-0.044581253228885426,-0.02378952728540838
2022-06-29,-0.0349126948728491,-0.04197526695487204,-0.009035893083520964
2022-06-30,-0.01715920947775362,-0.05080798383934916,-0.037962573938455965
2022-07-01,0.010549455530062675,0.0233104324831972,0.00046288541945709326
2022-07-02,0.0014393725901436347,0.00038881709109595073,-0.005705012943867791
2022-07-03,0.00431925063487606,0.006714023576951307,0.0023206904395859755
2022-07-04,0.05398972116598696,0.0687903217704675,0.04809616419735778
2022-07-05,-0.0004906369755581181,-0.013660789507242647,-0.0016306769204308042
2022-07-06,0.0332520376318511,0.04772770048850828,0.018035495792013027
2022-07-07,0.011704378636280263,0.039886656876533595,0.05168252038114879
2022-07-08,0.002866075106823744,-0.005807881917272966,0.00747120516863744
2022-07-09,0.003372701382694967,-0.011803815889658311,-0.010537453512607518
2022-07-10,-0.0367905973146065,-0.04180671152832425,-0.03554936727325355
