date,BNB,ETH,ETH_MA20,ETH_MA50,ETH_trend_signal,raw_signal,position,BNB_ret,strategy_ret_net,equity_strategy,equity_bnb_buyhold,equity_eth_buyhold
2022-06-19,214.0927325725,1124.3688886616,1538.6775819973695,1933.4807313495032,-1,0,0,0.08565315188808698,0.0,1.0,1.085653151888087,1.1325343511245758
2022-06-20,216.354127727952,1122.38415809468,1497.4309380902978,1899.3465872232614,-1,0,0,0.010562689953458326,0.0,1.0,1.0971205695284756,1.1305352069224985
2022-06-21,219.225330044245,1124.80054354179,1462.2891098611922,1864.6120419047338,-1,0,0,0.013270846026581573,0.0,1.0,1.1116802876792835,1.1329691407959863
2022-06-22,214.707598965148,1052.48545265926,1423.1439337507302,1830.0432775563997,-1,0,0,-0.020607705679746013,-0.0,1.0,1.0887711075008135,1.0601288787120273
2022-06-23,228.969736674656,1144.74839117475,1391.7146280026298,1794.2029384482757,-1,0,0,0.06642586372466042,0.0,1.0,1.1610936687150102,1.1530618549426916
2022-06-24,241.086685459835,1233.92042811221,1363.4582339772055,1763.948641388077,-1,0,0,0.052919433638498825,0.0,1.0,1.2225380880646552,1.242881482655477
2022-06-25,239.42027462321,1242.46349766219,1335.2969561367618,1734.8482827790765,-1,0,0,-0.006912081575332851,-0.0,1.0,1.214087805071001,1.2514865942224789
2022-06-26,234.531021788066,1204.22064611338,1302.6552452659257,1706.2020779807128,-1,0,0,-0.020421214714745894,-0.0,1.0,1.1892946573210914,1.21296601303178
2022-06-27,233.950518763433,1194.90176943308,1271.7724649766212,1679.707377713033,-1,0,0,-0.002475165205042984,-0.0,1.0,1.1863509565667467,1.2035794602191205
2022-06-28,226.836273506359,1142.80152688486,1239.1874624780824,1657.4043966130914,-1,0,0,-0.030409187783284275,-0.0,1.0,1.1502749875516296,1.1511008520125037
2022-06-29,219.053457956614,1095.82495207481,1204.619595353594,1632.4623477317355,-1,0,0,-0.03431027775867079,-0.0,1.0,1.1108087332298815,1.1037831209661695
2022-06-30,215.326739000662,1041.53905172414,1173.5713930596137,1611.9276243477495,-1,0,0,-0.017012828698144244,-0.0,1.0,1.091910734535039,1.0491029821355378
2022-07-01,217.61034306929,1066.1029628872,1150.4014959380472,1594.0806144354176,-1,0,0,0.010605297229811184,0.0,1.0,1.1034907724232046,1.073845282879249
