,corr
-7,0.028988772533743313
-6,-0.04111995631548523
-5,0.0060534431712716335
-4,0.005171993236604116
-3,-0.004787006262437643
-2,0.03551535915012621
-1,-0.010375565976166647
0,0.7283074878875636
1,-0.05142458427109115
2,0.004324566152205385
3,0.017613057862175836
4,0.0004747629792133694
5,-0.002144464232762257
6,0.023923614132232363
7,0.019108293400684897
