time,rolling_corr_30d
2022-05-31,0.8939164099583206
2022-06-01,0.899016757804692
2022-06-02,0.8990925569731822
2022-06-03,0.8967603635137648
2022-06-04,0.8934498889733186
2022-06-05,0.8928443779034623
2022-06-06,0.8824630180303681
2022-06-07,0.88272113908018
2022-06-08,0.8710143650835217
2022-06-09,0.8665472928035686
2022-06-10,0.8265545197719188
2022-06-11,0.8594685279056167
2022-06-12,0.8837130034175612
2022-06-13,0.9256129437021904
2022-06-14,0.9238801826411255
2022-06-15,0.9195088315520896
2022-06-16,0.9295994612959896
2022-06-17,0.9278874146799906
2022-06-18,0.9259010388967176
2022-06-19,0.9350021199364655
2022-06-20,0.9376620716588727
2022-06-21,0.9364857480073047
2022-06-22,0.9340673288975464
2022-06-23,0.9437786273149598
2022-06-24,0.9469123602984527
2022-06-25,0.9445074754774451
2022-06-26,0.9458987900724953
2022-06-27,0.9453384304657085
2022-06-28,0.947455973562839
2022-06-29,0.9474689649055917
2022-06-30,0.9463780194223939
2022-07-01,0.9475810909676844
2022-07-02,0.9496547856950149
2022-07-03,0.9504133729761708
2022-07-04,0.952950566986215
2022-07-05,0.9539273459721185
2022-07-06,0.9635915705291375
2022-07-07,0.9607594478564452
2022-07-08,0.9606870475539232
2022-07-09,0.9601806856506117
2022-07-10,0.9702086751848099
2022-07-11,0.9691749632992255
2022-07-12,0.9676084160454946
2022-07-13,0.9545019288889227
2022-07-14,0.9530597192886162
2022-07-15,0.9545737954000492
2022-07-16,0.9408993381938474
2022-07-17,0.9446219609952117
2022-07-18,0.9418737769937633
2022-07-19,0.9195877114450309
2022-07-20,0.9052969083005801
2022-07-21,0.9082153301212468
2022-07-22,0.9104998382055182
2022-07-23,0.9022776833406521
2022-07-24,0.896517662129719
2022-07-25,0.911417628965724
2022-07-26,0.9061199094969165
2022-07-27,0.9217176960618643
2022-07-28,0.919645465476248
2022-07-29,0.866770100273716
2022-07-30,0.8676412774074409
2022-07-31,0.867996607574311
2022-08-01,0.864327276164494
2022-08-02,0.8643589211345236
2022-08-03,0.8184821157776644
2022-08-04,0.7928093117174947
2022-08-05,0.7778631795935153
2022-08-06,0.7796460915094747
2022-08-07,0.7734960658244948
2022-08-08,0.7654460217949607
2022-08-09,0.7510911551139454
2022-08-10,0.7066885314577293
2022-08-11,0.6862464372580838
2022-08-12,0.676471865484527
2022-08-13,0.6644278121345948
2022-08-14,0.6778199831623246
2022-08-15,0.657425674025393
2022-08-16,0.6590439407676894
2022-08-17,0.6173849432320503
2022-08-18,0.6173868438558443
2022-08-19,0.6945942645076859
2022-08-20,0.6784739162860126
2022-08-21,0.6663530341874785
2022-08-22,0.672400420931588
2022-08-23,0.6620810029593324
2022-08-24,0.614110051733068
2022-08-25,0.6159501558328265
2022-08-26,0.6072913361847735
2022-08-27,0.5964794134757448
2022-08-28,0.614861959017216
2022-08-29,0.6293931351526277
2022-08-30,0.6312272581740503
2022-08-31,0.6275000781506027
2022-09-01,0.6240243229292578
2022-09-02,0.6741466358425107
2022-09-03,0.7115835162481002
2022-09-04,0.7124284424830931
2022-09-05,0.7109662291790414
2022-09-06,0.7225054523945565
2022-09-07,0.7276698759037576
2022-09-08,0.7449617193911722
2022-09-09,0.7822919332146543
2022-09-10,0.794508834881046
2022-09-11,0.7947258056540435
2022-09-12,0.7971127466652159
2022-09-13,0.8167967299873536
2022-09-14,0.8192114339970046
2022-09-15,0.8097167314068495
2022-09-16,0.7959916192673344
2022-09-17,0.8174234743130486
2022-09-18,0.8023500687770009
2022-09-19,0.8187531332226177
2022-09-20,0.847641384370836
2022-09-21,0.8366549541691458
2022-09-22,0.859862342770337
2022-09-23,0.8616480742482554
2022-09-24,0.8597335191640189
2022-09-25,0.825765297105325
2022-09-26,0.8228813686500762
2022-09-27,0.8263272274255683
2022-09-28,0.8027838990041463
2022-09-29,0.8025780626745822
2022-09-30,0.8158833207868719
2022-10-01,0.8246711907470241
2022-10-02,0.8180115554245405
2022-10-03,0.8140728574834266
2022-10-04,0.8197704771829882
