Date,AAPL,AMD,AMZN,ANET,AVGO,DELL,GOOGL,META,MRVL,MSFT,MU,NVDA,ORCL,PLTR,SMCI,TSLA,TSM,VRT
2022-06-01,145.78355407714844,101.22000122070312,121.68399810791016,25.417499542236328,53.3829460144043,46.42823028564453,112.95840454101562,187.1711883544922,57.13216781616211,263.57537841796875,72.00749206542969,18.286712646484375,67.91448211669922,8.460000038146973,5.170000076293945,246.7899932861328,88.69391632080078,10.29690170288086
2022-06-02,148.2342987060547,108.58999633789062,125.51100158691406,26.53499984741211,53.67330551147461,46.98716735839844,116.65831756591797,197.3115997314453,60.46915817260742,265.665283203125,73.78932189941406,19.556396484375,69.3752212524414,9.300000190734863,5.548999786376953,258.3333435058594,90.18229675292969,10.814732551574707
2022-06-03,142.5190887451172,106.30000305175781,122.3499984741211,25.792499542236328,52.42439651489258,46.74892807006836,113.6020736694336,189.2945098876953,58.037784576416016,261.2533264160156,68.47321319580078,18.68597412109375,68.09471893310547,8.9399995803833,5.480999946594238,234.51666259765625,87.77655792236328,10.824692726135254
2022-06-06,143.2640838623047,105.6500015258789,124.79000091552734,25.877500534057617,52.22990036010742,45.85097122192383,115.8628921508789,192.73748779296875,58.80558395385742,260.02459716796875,68.97250366210938,18.75185775756836,69.21397399902344,8.979999542236328,5.499000072479248,238.27999877929688,87.15874481201172,10.974067687988281
2022-06-07,145.78355407714844,105.27999877929688,123.0,26.075000762939453,53.3243293762207,46.86805725097656,116.18919372558594,194.1265869140625,60.06555938720703,263.6528015136719,69.27598571777344,18.89160919189453,68.9483871459961,9.130000114440918,5.61899995803833,238.8866729736328,87.84208679199219,11.362441062927246
2022-06-08,145.04823303222656,101.9000015258789,121.18000030517578,25.762500762939453,52.614253997802734,46.11669158935547,116.23333740234375,195.10887145996094,58.42167663574219,261.6306457519531,67.16130065917969,18.61804962158203,67.70581817626953,9.180000305175781,5.427000045776367,241.86666870117188,87.49574279785156,10.90435791015625
2022-06-09,139.83297729492188,98.80000305175781,116.1500015258789,24.602500915527344,51.76365661621094,46.13502502441406,113.89415740966797,182.5673065185547,55.59657669067383,256.1931457519531,64.63542175292969,18.01900863647461,65.65702056884766,8.680000305175781,5.019000053405762,239.7066650390625,85.0431900024414,10.446276664733887
2022-06-10,134.4314422607422,94.81999969482422,109.6500015258789,23.739999771118164,50.372352600097656,45.04464340209961,110.25028228759766,174.2029266357422,52.23991394042969,244.77621459960938,61.30671691894531,16.946735382080078,63.68406677246094,8.260000228881836,4.875,232.22999572753906,83.01187133789062,10.047945022583008
2022-06-13,129.28469848632812,86.98999786376953,103.66999816894531,23.022499084472656,48.17140579223633,43.29452896118164,105.52037048339844,162.98101806640625,48.04654312133789,234.3946075439453,57.60599136352539,15.621866226196289,60.75312805175781,7.639999866485596,4.688000202178955,215.73666381835938,80.08195495605469,9.37077808380127
2022-06-14,130.14736938476562,86.98999786376953,102.30999755859375,22.982500076293945,48.40871810913086,43.38616943359375,105.84072875976562,162.4551544189453,47.761085510253906,236.55218505859375,57.46893310546875,15.810562133789062,67.07978820800781,7.820000171661377,4.642000198364258,220.88999938964844,81.61712646484375,9.320984840393066
