hold_gross,part_gross,hold_net,part_net,hold_moic,part_moic,hold_irr,part_irr,hold_mdd,part_mdd
433794842.9029396,445747389.00009775,390903993.69960016,406285959.1508037,1.8698053573402569,1.9213249525866283,0.05112802638835057,0.05473301641274378,-0.8470039206065063,-0.8210961347325911
254233694.98707935,290930267.1510356,250400175.12711003,290930267.1510356,1.0958348921856869,1.2540097722027397,0.0078077033946805235,0.02279407340903717,-0.7683786350285376,-0.6873202535940486
1603504558.3516414,1382706721.460593,1302908655.0975375,1141956843.7628925,6.911657579101902,5.959942764916349,0.15704324371126904,0.14589714944764726,-0.6130316064747217,-0.5861938812782509
7132851338.242172,5298437067.662384,5615766539.827848,4239848084.1856785,30.745048871733502,22.838090808889586,0.2782679055770335,0.25504490792577317,-0.5175025590838149,-0.47169701718501267
98998613.2009292,98222891.54867382,98998613.2009292,98222891.54867382,0.42671816034883275,0.42337453253738716,-0.09968757926971128,-0.10075822638829124,-0.9291872682021378,-0.9125718382148187
1149349339.3136141,1009639556.3050498,948467811.9981444,868260010.2960355,4.954091979800061,4.351894639245904,0.13007432669188418,0.12248128597333346,-0.8036212862305216,-0.7593406919099988
4611070627.223061,4025688937.6112423,3648996548.999438,3214481957.8648443,19.875304427685606,17.35210748970363,0.24265364360456315,0.23218327128706295,-0.609772972872578,-0.5710439286098716
257480308.96948928,305064351.202981,252964934.14401737,303741430.81462175,1.1098289179719365,1.314932548288711,0.008840358510967906,0.027018245491620928,-0.586058750131549,-0.5627328429165799
616082528.3575561,595218190.1706185,532559507.0102991,541435665.5119225,2.6555281394722248,2.565595647287149,0.0794985240922689,0.080985078895502,-0.7136806636314508,-0.671712331198006
200390201.60049427,220907007.11336377,200390201.60049427,220907007.11336377,0.8637508689676477,0.9521853754886369,-0.015378142876741163,-0.005083838609641733,-0.6577881944043353,-0.5669463925205951
243303335.96412626,259127093.77005583,242080821.40210867,259127093.77005583,1.0487212757074407,1.1169271283192062,0.004367430770721478,0.011270421105383704,-0.8543094276127553,-0.8100198714831042
612644548.9296001,608619767.6312532,530761689.3864298,532049792.777179,2.6407092626275865,2.6233610673760914,0.07919407858117489,0.07941232438004714,-0.7039028820863247,-0.668987750982674
111420982.43335384,129803458.101591,111420982.43335384,129803458.101591,0.48026285531618035,0.5594976642309957,-0.08402046458305223,-0.0648393968927648,-0.7327301339255269,-0.6502639190013606
652318637.6183695,603765255.8459158,560806439.9858778,550026751.3488928,2.81171826559642,2.602436447611706,0.08413746232383021,0.08239835661130518,-0.8236089882467532,-0.7683664246174096
6451831610.967882,5391006493.359951,5085149853.774548,4269990171.809369,27.809619012792595,23.23709695413772,0.27006203350806113,0.25562987476038423,-0.5751488113082477,-0.5599450727482245
343310823.32747287,402389712.8525587,320048172.2991657,379911142.8916264,1.4797880315839347,1.7344384174679253,0.032100028917034576,0.04845053683802163,-0.5986290756655943,-0.5373487863280437
88918810.93922834,91367878.47471622,88918810.93922834,91367878.47471622,0.38327073680701873,0.39382706239101817,-0.11463043583978039,-0.11078086038046342,-0.8142367516811719,-0.7995713523362271
1227674115.796595,1152667394.5673616,1009670407.8774778,982764817.400486,5.291698774985323,4.968393942100697,0.13542251758716667,0.13311492774827277,-0.6385318552633052,-0.5441612977275793
10253173147.184113,6656728899.122921,8049552511.481136,5277015726.520098,44.19471184131083,28.69279697897811,0.30810862118825777,0.27312328304684985,-0.703321126293394,-0.6510992167694294
141027772.20482725,158403967.19772154,141027772.20482725,158403967.19772154,0.607878328469083,0.6827757206798343,-0.05486121762967454,-0.04133938400260735,-0.837035097644697,-0.7901253213531414
1822935728.5806632,1745348250.6444001,1475247916.123761,1424807004.1505249,7.8574815887097555,7.523052804501725,0.16748670273870342,0.16456711868127938,-0.5713050150952638,-0.5721623960846236
419237035.24513555,438011154.09620994,379907374.95141196,400818720.5203839,1.8070561864014463,1.8879791124836636,0.04844960388662714,0.053469854794576846,-0.5523105100241485,-0.5165257256675064
219233314.71818995,219095090.91858298,219233314.71818995,219095090.91858298,0.9449711841301291,0.9443753918904438,-0.005878235929031693,-0.005944177781400406,-0.9156563738042287,-0.903353814791507
1690749387.2846053,1448586431.731283,1370924144.3767061,1198222996.2977076,7.287712876226747,6.243907033324495,0.16132732939254762,0.14997084243058784,-0.668776566370444,-0.616924838722231
123838278210.89693,47754880648.76976,96645940999.76855,37356388540.74928,533.7856819435212,205.84000279642137,0.5216059561104283,0.4379525898156019,-0.6017864121505724,-0.5141013079250945
1370561364.887835,1260462743.9934464,1121080190.8419487,1077789533.3087597,5.907592090033772,5.433029068937269,0.14433180779564309,0.1409857603395731,-0.7990588886346675,-0.6852449060979552
2306735067.4543047,1944474143.5249991,1851411541.9126115,1590790376.8126895,9.942823566613383,8.3813540669181,0.18646453531028595,0.17380236049027564,-0.8450733049607164,-0.7982681498077854
645283323.717899,640822681.6606357,555426226.7991976,571629117.8193991,2.7813936367150816,2.7621667312958436,0.08327413443006251,0.08584669504877687,-0.7013560654027498,-0.6857975079573471
617467365.9232728,615048354.364284,534528016.98121005,538326511.3545157,2.6614972669106587,2.6510704929495,0.07983056762236199,0.08046746582422531,-0.7102508593750885,-0.6910430045787787
3825022689.6823044,2994427786.5671396,3035561761.1005716,2428446757.4697304,16.487166765872,12.907016321410085,0.22745175172342813,0.20899287724906845,-0.6200304749103656,-0.5604756221339615
5253728363.817192,4238525272.260233,4149999813.3495903,3396537875.229546,22.64538087852238,18.269505483880316,0.25327628499355126,0.2367333771807516,-0.667535453192278,-0.6167990136565796
397526359.7957793,483740638.822518,362048732.39415216,468876859.95039344,1.7134756887749107,2.085088960441888,0.04390370531277929,0.06794965714001824,-0.7683141293613838,-0.7322563382320628
182657514.96193308,198130760.25829774,182657514.96193308,198130760.25829774,0.7873168748359184,0.8540118976650765,-0.025404969315233367,-0.016592121354370624,-0.4999785207112636,-0.3705371797630185
18970093266.10377,11238458437.770653,14848751683.761885,8862043503.79211,81.76764338837832,48.44163119728729,0.35928627212176556,0.31610492460396733,-0.6207184066585183,-0.5315732697476456
371599562.8278762,432469795.16671515,342138256.2110648,411100118.2576611,1.601722253568432,1.864093944684117,0.038519010452514685,0.05582931699881037,-0.6285736753899902,-0.5432282630202062
377790481.9729011,397728484.38636434,346956621.3587063,368974692.45307213,1.6284072498831945,1.714346915458467,0.03985491181885063,0.045696805854018974,-0.75688487380922,-0.7458476554645725
3992342498.785551,2994812389.5329094,3166023067.573255,2432824751.6255565,17.208372839592894,12.908674092814264,0.23092846394960515,0.20914207190538026,-0.6527813590189968,-0.5983487792727472
1788183155.024095,1558848195.3357594,1446821955.2969058,1302159778.0092993,7.707686013034892,6.719173255757584,0.1658543468045044,0.1569947873393624,-0.6157977715794736,-0.5211104696280376
433867456.455189,466647339.44692355,390730215.24552387,426545806.0316163,1.8701183467896076,2.011410945891912,0.05108637538101306,0.05925030292940671,-0.8290001944630686,-0.8192338784051904
566321355.4268938,630091262.2457876,493919498.8616692,565589965.3151017,2.441040325115922,2.7159106131283948,0.07268918372557762,0.08489738407109354,-0.725311335468455,-0.5437010645680618
113425365.69937012,128345460.64009935,113425365.69937012,128345460.64009935,0.48890243835935393,0.5532131924142213,-0.0817224960341578,-0.06622113273409344,-0.8151905967500847,-0.8105729852890642
121266248.32272919,123922779.57690285,121266248.32272919,123922779.57690285,0.5226993462186603,0.5341499119694089,-0.07324823364197913,-0.07054690416980958,-0.8103457179835951,-0.7852261278395898
1206677430.7349167,1072570348.3331337,993325524.0188491,908429378.1964754,5.201195822133261,4.623148053160059,0.13402856558224274,0.12637332807916962,-0.8410676163884185,-0.8045811408197318
114202771.83810274,120312472.8127045,114202771.83810274,120312472.8127045,0.49225332688837387,0.518588244882347,-0.08084642116258156,-0.0742380274874875,-0.7032010626371581,-0.6841786638908034
118548602.17346953,123939316.23481059,118548602.17346953,123939316.23481059,0.5109853541959893,0.534221190667287,-0.07609733535428398,-0.07053033812139672,-0.8658515153285213,-0.8538979928622762
370700702.25607365,417694506.77337146,341377606.2548771,391617411.3999045,1.5978478545520416,1.8004073567817735,0.03830611700231669,0.05129879516674929,-0.7082643946194671,-0.6981754979571911
492555418.0951881,497497219.6282607,436237493.81969005,451068187.52396923,2.1230836986861554,2.1443845673631925,0.061325730005846596,0.0644025673422674,-0.7642923277741047,-0.7386879389801598
1693658613.533719,1589495028.999564,1373205600.1711574,1312463389.7830787,7.300252644541892,6.851271676722258,0.16146716916120546,0.15765894975854305,-0.8000531094782785,-0.7769006901260298
837472662.752417,851043799.2202752,706170992.528627,728560029.4521925,3.6097959601397283,3.6682922380184273,0.10453480704802343,0.10726438548507933,-0.5187197342662337,-0.4990644386261902
1012423797.287812,958659206.545268,842023772.5349087,820968592.6292026,4.363895677964707,4.1321517523502935,0.11983391486407444,0.11764463477002515,-0.7064291667289655,-0.5896068237640366
913947664.7969209,874468072.9971926,765057639.4871907,753177238.0691466,3.9394295896419003,3.7692589353327266,0.11152509834080324,0.11016273429353743,-0.6733114508498992,-0.6279791729629765
2429419652.0615454,1766911406.3884878,1947037381.973724,1455001340.3841677,10.471636431299764,7.6159974413296885,0.19065609178885112,0.16632743050224408,-0.5385503422590472,-0.48750342391505175
3237614519.560615,2517646558.003912,2577528880.5355787,2051413228.2399628,13.9552349981061,10.85192481898238,0.2139259559270666,0.1949972031638456,-0.6923036350066046,-0.6530785249474589
2143127236.3492563,1863961278.4443257,1723697655.5068412,1534177935.0292327,9.23761739805714,8.034315855363472,0.18050609237703263,0.17076937518574103,-0.7350280939698456,-0.7044987955679448
2720751801.5703754,2449315147.7308297,2174812516.489009,1983751163.0934803,11.727378455044722,10.557392878150129,0.1998475126403551,0.19220962009181003,-0.6179043373620678,-0.5907138297885319
186373258.44458914,209347294.1315456,186373258.44458914,209347294.1315456,0.8033330105370221,0.9023590264290758,-0.023204347120095954,-0.010729322008990374,-0.7403076480850286,-0.7125656871125596
226214297.6509055,239768576.5448328,226214297.6509055,239768576.5448328,0.9750616278056271,1.0334852437277275,-0.00261320044945121,0.003385590140722654,-0.7743493215218804,-0.7713510728627914
262786859.8228305,275779662.61401016,256964764.3505014,275779662.61401016,1.132701981994959,1.188705442301768,0.010425742395871157,0.01750326982331734,-0.7834919012615532,-0.7483998258875004
905612653.9764457,919573441.9328862,758375531.6839767,807378368.2465892,3.90350281886399,3.9636786290210613,0.11076167243864765,0.1161993198082496,-0.6505754266545736,-0.5978582667589455
300439943.9504054,358371345.45329946,286487065.3805615,351301789.2389758,1.29499975840692,1.544704075229739,0.02127714717408659,0.04104124237475673,-0.6618077537965457,-0.562535322986996
2425622810.0256677,2157784096.031874,1944032563.3106623,1791771816.6269898,10.455270732869257,9.300793517378768,0.19052761990444972,0.18373640824923926,-0.6268736818778373,-0.5712094561409666
2120582857.5730457,1737299273.3640985,1706055902.3780823,1433186120.1408281,9.140443351607956,7.488358936914218,0.1796475220780877,0.16505946804507993,-0.6562781505064743,-0.6280630917986525
3187011824.5650153,2571106914.0437636,2537952197.719171,2106311851.3409605,13.737119933469893,11.082357388119672,0.21264514354252184,0.19719079826625946,-0.49164853836013145,-0.4064899058967619
1014999892.1575108,966537917.7366403,843706803.7021904,850638786.6275702,4.374999535161685,4.166111714382071,0.12000637500782033,0.12071283280009495,-0.7273447404296299,-0.6742187720692339
995519128.3330709,1029389815.7762517,828731734.3561547,883535348.4349401,4.291030725573582,4.437025068001085,0.11845876515554674,0.12398354215750046,-0.6675723885037447,-0.6351147057058807
862297042.3293359,893809788.6219213,724668961.5348684,777037323.3153586,3.7167975962471376,3.8526283992324193,0.10679658277341353,0.11287593860962736,-0.7347868740954746,-0.6673841403766299
138958003.33513522,150211095.56993917,138958003.33513522,150211095.56993917,0.598956910927307,0.6474616188359447,-0.056619178096937284,-0.04745690529246584,-0.7969579022980844,-0.7929550208775362
10557045308.179115,6891298241.983371,8286431971.150247,5514360606.321005,45.50450563870308,29.70387173268694,0.3105190179947277,0.2767608534267044,-0.5930611696687558,-0.5318978532211145
1730064618.4370527,1537126933.0142736,1401486496.3487034,1285882332.140346,7.457175079470055,6.625547125061525,0.1631808370185875,0.15593430538701292,-0.5240406274105196,-0.4582191809005455
85125247.47463092,94408625.82150528,85125247.47463092,94408625.82150528,0.3669191701492712,0.40693373198924687,-0.12091051831095094,-0.10620522606030902,-0.7475243782143205,-0.6883546210213005
620058697.0281352,601209159.5777385,535828639.202096,541047706.8518901,2.6726667975350655,2.5914187912833557,0.08004920893148992,0.08092067179427898,-0.8241696666858842,-0.789164006119079
183544019.99842274,197488055.5985414,183544019.99842274,197488055.5985414,0.7911380172345808,0.8512416189592302,-0.02487479167739367,-0.016940627743622677,-0.7739913744553575,-0.7006318886828267
99172205.32989362,100540262.46027425,99172205.32989362,100540262.46027425,0.4274664022840242,0.4333632002598028,-0.09944963409585997,-0.09759505574108734,-0.5908795451277277,-0.5861627785462047
631911925.1491848,624900751.2324874,545061150.8551652,556861373.4020846,2.7237582980568313,2.693537720829687,0.08158450146493654,0.08350532528495272,-0.6551935606316664,-0.5983639175980635
817363975.9479209,797063165.1890116,689735302.5023667,696604666.623392,3.5231205859824177,3.4356170913319466,0.10247058970278519,0.10333976795243957,-0.733944318481861,-0.6929216919734422
373198269.6481635,405372504.41798383,343092658.48301524,389817192.2034495,1.608613231242084,1.7472952776637234,0.03878535327761183,0.050867193413950046,-0.7241225312836044,-0.6718432690571721
389578473.2261583,359245331.93375635,356182665.7448445,349275521.319949,1.679217557009303,1.5484712583351568,0.04235367782762124,0.0404901594530523,-0.8720314396721305,-0.8412284419681912
650746845.181037,681102281.8794836,560036823.4614701,601348111.0956802,2.8049432981941247,2.9357856977563945,0.08401453003723178,0.09036254599970012,-0.6288591850160186,-0.6025638768457622
1131619949.2035403,1059166187.602375,934861114.879432,901801039.7709304,4.877672194842846,4.565371498286099,0.12883553307934814,0.1257439040642131,-0.6851456679284457,-0.649324002569966
1367945665.8329535,1201706931.3652835,1120049966.792817,1001618793.8807056,5.896317525142041,5.179771255884843,0.14425376948913698,0.13473885632463495,-0.6834086900892206,-0.6424042537666158
444379906.52545565,554554745.5792125,398604465.8109375,519040428.4170272,1.9154306315752399,2.390322179220744,0.05295265158054545,0.07718062920818886,-0.701190439386298,-0.6474418421615944
296766373.58579266,296392673.4803515,284114789.8812483,288306758.42507714,1.2791654033870374,1.2775546270704807,0.020455718306636977,0.021901761962267265,-0.8705481145490007,-0.8415531079633242
510744436.1936373,568591368.5781558,450526433.5594762,513945550.31629336,2.201484638765678,2.450824864561016,0.06429219765715949,0.07628959751398767,-0.7202189802271269,-0.6695987268069543
555334847.6364917,570124252.3279221,485453033.9972572,516335122.12399477,2.3936846880883262,2.4574321221031123,0.07111760643391188,0.07670872449334079,-0.7298349415472078,-0.6248303193133746
2028374161.5250473,1765743780.127872,1634540519.7756095,1447646009.576838,8.742992075538996,7.61096456951669,0.1760708597780401,0.1659021343933927,-0.7236281741260182,-0.6847215560420095
144085688.35454845,159051426.7328167,144085688.35454845,159051426.7328167,0.6210590015282261,0.685566494538003,-0.052326135652552605,-0.040873693428923275,-0.6919246238276658,-0.6456944243766818
348042194.17791367,369436274.85858434,323680451.30743694,355336117.54531395,1.5001818714565245,1.5923977364594153,0.033190529335640234,0.04212754781208118,-0.8252109032085808,-0.7782984881724144
1161049078.7255824,1160117645.14699,957650559.238076,987105987.5742298,5.004521891058545,5.000507091150819,0.13089972511472187,0.13349174865030178,-0.7423960410905648,-0.7239605446111332
343050715.53330046,366968950.45611477,319940463.81573987,346385967.6022792,1.4786668772987088,1.5817627174832534,0.032067470578885815,0.0396978276919944,-0.7156089490206388,-0.6585875925101887
1034648959.1486193,1014411299.0101144,859126040.4306271,871874457.4431486,4.459693789433704,4.372462495733252,0.12156944955292512,0.12283928514207518,-0.6471017247175437,-0.5630317501356181
1434655710.830227,1426971454.8380265,1171050827.6766396,1205691138.0785837,6.183860822544082,6.150739029474252,0.14802921115208012,0.15049641183386908,-0.7142785421547384,-0.6562203521292354
317334828.7922467,336738063.7817273,299503498.5548774,332552369.4388754,1.367822537897615,1.4514571714729625,0.02564465098105578,0.03579486311109008,-0.8127456134045157,-0.7858700868329654
4757613962.860253,3539130763.5237527,3762981701.158244,2872732424.3449697,20.50695673646661,15.254873980705831,0.24519334829910938,0.22289496247004814,-0.5694560734065268,-0.4759485050245653
88317656.1259452,109216476.60307865,88317656.1259452,109216476.60307865,0.3806795522670052,0.47076067501327,-0.11559913255060159,-0.08661564801457566,-0.8423523481821165,-0.7869794422941392
941329671.634833,807967478.4089016,787199767.3816708,695008944.6206099,4.057455481184625,3.4826184414176793,0.11400439319291164,0.10313869476789059,-0.6889402245936151,-0.668786927771384
2233943647.4645176,2002793456.2093575,1794526694.289557,1673219778.8400764,9.629067445967749,8.632730414695507,0.1838644662406625,0.17802487270597067,-0.6799525668103104,-0.6316590785044232
62246624.84679195,70567777.20563973,62246624.84679195,70567777.20563973,0.26830441744306877,0.30417145347258506,-0.1702705569897119,-0.14950962370444112,-0.7763899606169435,-0.7534734228716831
302399212.2480307,337672815.82016015,288176751.4917506,327013564.24951315,1.3034448803794427,1.455486275086897,0.021857292678054453,0.034178654878083164,-0.689487867475189,-0.6862248747881048
10876154700.752663,7014433645.803585,8535797386.666988,5541664732.138366,46.87997715841665,30.234627783636142,0.3129843281746806,0.277169321050145,-0.7364961412714612,-0.6516311196246241
144743808.72239745,146929051.49036735,144743808.72239745,146929051.49036735,0.6238957272517132,0.6333148771136524,-0.05178990750562326,-0.05003239680322616,-0.7522445478708978,-0.7374732051809638
127360014.08320573,128050540.56788263,127360014.08320573,128050540.56788263,0.5489655779448522,0.5519419852063906,-0.06716719341264896,-0.06650322526000108,-0.8817540619270066,-0.8654683339108025
8612717401.893618,6032931288.181699,6769990018.802086,4820464028.152239,37.123781904713866,26.00401417319698,0.2937432112910666,0.2656450861619053,-0.7013117561621971,-0.6529770534887158
544638675.2094163,608701430.8384311,476930624.47624284,545439557.7556479,2.3475804965923115,2.6237130639587547,0.06950429474367875,0.08164681065746912,-0.6573370829176455,-0.6067922908615839
7396032495.089098,5047496885.287835,5821016538.407808,4024623009.459849,31.879450409866802,21.75645209175791,0.2812374310654827,0.25074333845207597,-0.6527941709849368,-0.56475396201498
2527281341.635959,2135522693.7211514,2023351222.1103265,1751912618.1622603,10.893454058775687,9.204839197073929,0.19385265969033277,0.1818606143702623,-0.702969866417787,-0.6253036663308515
706722781.8453145,680334385.7964906,603601785.7635765,593582187.3963635,3.0462188872642866,2.932475800846942,0.09069492387018327,0.08920662438347601,-0.7783036004174512,-0.7527956395791334
747380046.1608746,835449702.009099,634959008.0940317,741835248.342931,3.2214657162106666,3.601076301763358,0.09518310658292972,0.1088402876230708,-0.5972196448233688,-0.5459263657273984
2550106489.059585,2041396746.9435444,2041145140.1160326,1676831817.1179018,10.991838314912005,8.799123909239416,0.19458027234391018,0.17820496517671147,-0.6149985633168802,-0.5310444119287144
381034973.5631961,391917391.1127955,349815617.88447964,362709826.81396186,1.6423921274275695,1.6892990996241184,0.04063741160997586,0.044076565291489,-0.8257142302803211,-0.8139927111339429
448405507.045762,463283046.2413098,402271962.9804722,420556456.2910238,1.9327823579558707,1.9969096820746113,0.053807528152306536,0.057940750479572284,-0.7977115270231367,-0.7807183443812535
268700279.0862978,289557907.75482965,261670689.9402599,285242097.5778264,1.158190858130594,1.248094429977714,0.012253197968449675,0.020847077983397168,-0.7177961839720567,-0.7181390829503168
1224683415.7918715,1243072796.2932763,1007249324.5234408,1070654563.426491,5.278807826689102,5.358072397815846,0.1352175522819135,0.14042071360252711,-0.5284245870880432,-0.4563343799124141
161886071.4993344,162074846.4366387,161886071.4993344,162074846.4366387,0.6977847909454069,0.6985984760199945,-0.03886363542014461,-0.03873140741505192,-0.779712918695529,-0.7753437909765168
982200746.3052052,925184990.0363121,818531336.5070965,794727568.2831969,4.233623906487954,3.9878663363634144,0.1173873322375954,0.11483023048584645,-0.5203574161297757,-0.46043837447487157
544149206.926465,530541814.75139695,476479228.6941966,494940635.3177237,2.345470719510625,2.2868181670318832,0.06941794372605259,0.07287668989767959,-0.7393999070623223,-0.667685588512804
3015581572.267392,2483813010.4948535,2404251514.4304266,2023864045.3014603,12.998196432187035,10.706090562477817,0.2081633899296808,0.19387372093203203,-0.6827921738582258,-0.6187263561559515
508121599.1839044,514648373.2014269,448573251.69606644,459393869.2542189,2.190179306827174,2.2183119534544264,0.06389303407168709,0.06608014769515133,-0.7939495615226424,-0.7931413307092438
